Datetime,Dn,Dm,Dx,Sn,Sm,Sx,source_file,Ta,Ua,Pa,Th,Vh,Vs,Vr,Rc,Rd,Ri,Hc,Hd,Hi
2025-01-21_214011,,,,,,,VPMI.2025.021.0R5.csv,,,,18.4,0.0,13.4,3.649,,,,,,
2025-01-21_220011,,,,,,,VPMI.2025.021.0R5.csv,,,,18.6,0.0,13.1,3.65,,,,,,
2025-01-21_222011,,,,,,,VPMI.2025.021.0R5.csv,,,,16.3,0.0,12.9,3.649,,,,,,
2025-01-21_224011,,,,,,,VPMI.2025.021.0R5.csv,,,,14.4,0.0,12.9,3.65,,,,,,
2025-01-21_230011,,,,,,,VPMI.2025.021.0R5.csv,,,,14.6,0.0,12.7,3.65,,,,,,
2025-01-21_232011,,,,,,,VPMI.2025.021.0R5.csv,,,,10.2,0.0,12.6,3.647,,,,,,
2025-01-21_234011,,,,,,,VPMI.2025.021.0R5.csv,,,,9.5,0.0,12.6,3.649,,,,,,
2025-01-22_000003,143.0,39.0,353.0,1.4,1.8,2.7,VPMI.2025.022.0R1.csv,,,,,,,,,,,,,
2025-01-22_002002,15.0,35.0,54.0,3.2,4.9,7.5,VPMI.2025.022.0R1.csv,,,,,,,,,,,,,
2025-01-22_004003,11.0,99.0,149.0,1.8,4.7,7.7,VPMI.2025.022.0R1.csv,,,,,,,,,,,,,
2025-01-22_010002,77.0,122.0,151.0,3.5,4.1,4.7,VPMI.2025.022.0R1.csv,,,,,,,,,,,,,
2025-01-22_012003,61.0,86.0,115.0,1.3,3.5,4.4,VPMI.2025.022.0R1.csv,,,,,,,,,,,,,
2025-01-22_014002,31.0,53.0,95.0,5.3,8.4,9.5,VPMI.2025.022.0R1.csv,,,,,,,,,,,,,
2025-01-22_020002,13.0,69.0,115.0,3.0,4.1,6.9,VPMI.2025.022.0R1.csv,,,,,,,,,,,,,
2025-01-22_022002,36.0,60.0,78.0,4.5,5.3,6.1,VPMI.2025.022.0R1.csv,,,,,,,,,,,,,
2025-01-22_024002,149.0,132.0,336.0,0.6,3.0,4.6,VPMI.2025.022.0R1.csv,,,,,,,,,,,,,
2025-01-22_030003,118.0,149.0,160.0,3.5,3.7,4.2,VPMI.2025.022.0R1.csv,,,,,,,,,,,,,
2025-01-22_032002,65.0,98.0,131.0,2.1,2.7,3.4,VPMI.2025.022.0R1.csv,,,,,,,,,,,,,
2025-01-22_034002,58.0,85.0,133.0,4.4,5.6,6.7,VPMI.2025.022.0R1.csv,,,,,,,,,,,,,
2025-01-22_040016,53.0,65.0,84.0,3.9,5.0,5.4,VPMI.2025.022.0R1.csv,,,,,,,,,,,,,
2025-01-22_042002,39.0,60.0,94.0,2.2,3.0,3.8,VPMI.2025.022.0R1.csv,,,,,,,,,,,,,
2025-01-22_044002,80.0,110.0,140.0,2.0,2.5,3.3,VPMI.2025.022.0R1.csv,,,,,,,,,,,,,
2025-01-22_050002,50.0,78.0,99.0,3.5,4.3,6.2,VPMI.2025.022.0R1.csv,,,,,,,,,,,,,
2025-01-22_052002,26.0,73.0,112.0,2.1,3.4,5.6,VPMI.2025.022.0R1.csv,,,,,,,,,,,,,
2025-01-22_054002,69.0,107.0,127.0,2.8,3.8,4.6,VPMI.2025.022.0R1.csv,,,,,,,,,,,,,
2025-01-22_060002,4.0,76.0,201.0,0.7,2.7,4.6,VPMI.2025.022.0R1.csv,,,,,,,,,,,,,
2025-01-22_062002,33.0,59.0,115.0,1.7,4.2,5.8,VPMI.2025.022.0R1.csv,,,,,,,,,,,,,
2025-01-22_064002,42.0,92.0,134.0,0.6,2.0,4.2,VPMI.2025.022.0R1.csv,,,,,,,,,,,,,
2025-01-22_070002,36.0,56.0,103.0,3.1,5.5,7.2,VPMI.2025.022.0R1.csv,,,,,,,,,,,,,
2025-01-22_072002,26.0,49.0,80.0,4.2,4.8,5.9,VPMI.2025.022.0R1.csv,,,,,,,,,,,,,
2025-01-22_074002,277.0,240.0,293.0,0.8,1.1,1.8,VPMI.2025.022.0R1.csv,,,,,,,,,,,,,
2025-01-22_080002,135.0,86.0,355.0,3.3,4.9,7.0,VPMI.2025.022.0R1.csv,,,,,,,,,,,,,
2025-01-22_082002,12.0,28.0,50.0,6.9,9.7,11.8,VPMI.2025.022.0R1.csv,,,,,,,,,,,,,
2025-01-22_084002,27.0,82.0,135.0,1.7,3.9,9.9,VPMI.2025.022.0R1.csv,,,,,,,,,,,,,
2025-01-22_090002,66.0,103.0,137.0,1.0,4.3,5.5,VPMI.2025.022.0R1.csv,,,,,,,,,,,,,
2025-01-22_092002,19.0,44.0,116.0,3.9,5.6,6.7,VPMI.2025.022.0R1.csv,,,,,,,,,,,,,
2025-01-22_094002,29.0,65.0,102.0,3.7,5.5,7.6,VPMI.2025.022.0R1.csv,,,,,,,,,,,,,
2025-01-22_100013,88.0,46.0,355.0,1.4,5.8,12.1,VPMI.2025.022.0R1.csv,,,,,,,,,,,,,
2025-01-22_102002,110.0,78.0,115.0,2.3,4.5,6.4,VPMI.2025.022.0R1.csv,,,,,,,,,,,,,
2025-01-22_104002,6.0,73.0,112.0,5.1,6.7,8.7,VPMI.2025.022.0R1.csv,,,,,,,,,,,,,
2025-01-22_110007,60.0,168.0,261.0,0.6,1.2,1.8,VPMI.2025.022.0R1.csv,,,,,,,,,,,,,
2025-01-22_112007,21.0,75.0,163.0,2.9,4.6,6.3,VPMI.2025.022.0R1.csv,,,,,,,,,,,,,
2025-01-22_114002,12.0,46.0,80.0,6.7,9.7,12.8,VPMI.2025.022.0R1.csv,,,,,,,,,,,,,
