Datetime,Event ID,Label,Station,Sensor Type,Acoustic t1,Acoustic t2,Energy,Duration,Magnitude
2025-03-05 05:43:34+00:00,167246,Acoustic,VPVF,acoustic,2025-03-05 05:43:34+00:00,2025-03-05 05:43:58+00:00,6.821,24.0,0.5586781931858693
2025-03-05 05:44:14+00:00,167247,Acoustic,VPVF,acoustic,2025-03-05 05:44:14+00:00,2025-03-05 05:45:00+00:00,57.209,46.0,1.1775011188319442
2025-03-05 05:45:58+00:00,167248,Acoustic,VPVF,acoustic,2025-03-05 05:45:58+00:00,2025-03-05 05:47:00+00:00,12.805,62.0,0.7419443204789806
2025-03-05 05:47:16+00:00,167249,Acoustic,VPVF,acoustic,2025-03-05 05:47:16+00:00,2025-03-05 05:47:42+00:00,11.288,26.0,0.7052533905000152
2025-03-05 05:48:38+00:00,167250,Acoustic,VPVF,acoustic,2025-03-05 05:48:38+00:00,2025-03-05 05:49:40+00:00,11.663,62.0,0.7147628846693084
2025-03-05 05:50:38+00:00,167251,Acoustic,VPVF,acoustic,2025-03-05 05:50:38+00:00,2025-03-05 05:51:36+00:00,35.908,58.0,1.041978115062643
2025-03-05 05:52:56+00:00,167252,Acoustic,VPVF,acoustic,2025-03-05 05:52:56+00:00,2025-03-05 05:53:46+00:00,4.823,50.0,0.4578225654876614
2025-03-05 05:55:52+00:00,167253,Acoustic,VPVF,acoustic,2025-03-05 05:55:52+00:00,2025-03-05 05:56:36+00:00,17.26,44.0,0.8288173302240579
2025-03-05 05:57:36+00:00,167254,Acoustic,VPVF,acoustic,2025-03-05 05:57:36+00:00,2025-03-05 05:58:20+00:00,22.351,44.0,0.9040289622309804
2025-03-05 05:59:28+00:00,167255,Acoustic,VPVF,acoustic,2025-03-05 05:59:28+00:00,2025-03-05 06:00:00+00:00,39.56,32.0,1.070161709559845
2025-03-05 06:01:42+00:00,167256,Acoustic,VPVF,acoustic,2025-03-05 06:01:42+00:00,2025-03-05 06:02:12+00:00,22.538,30.0,0.9064533009510816
2025-03-05 06:02:34+00:00,167257,Acoustic,VPVF,acoustic,2025-03-05 06:02:34+00:00,2025-03-05 06:03:18+00:00,70.728,44.0,1.239226222966226
2025-03-05 06:05:26+00:00,167258,Acoustic,VPVF,acoustic,2025-03-05 06:05:26+00:00,2025-03-05 06:06:06+00:00,5.752,40.0,0.5090786478411337
2025-03-05 06:06:38+00:00,167259,Acoustic,VPVF,acoustic,2025-03-05 06:06:38+00:00,2025-03-05 06:07:06+00:00,3.233,28.0,0.3414358220897426
2025-03-05 06:08:14+00:00,167260,Acoustic,VPVF,acoustic,2025-03-05 06:08:14+00:00,2025-03-05 06:08:38+00:00,2.794,24.0,0.2989716891913693
2025-03-05 06:09:58+00:00,167261,Acoustic,VPVF,acoustic,2025-03-05 06:09:58+00:00,2025-03-05 06:10:22+00:00,2.914,24.0,0.3112079967807608
2025-03-05 06:10:58+00:00,167262,Acoustic,VPVF,acoustic,2025-03-05 06:10:58+00:00,2025-03-05 06:11:48+00:00,11.348,50.0,0.7067959491729559
2025-03-05 06:13:22+00:00,167263,Acoustic,VPVF,acoustic,2025-03-05 06:13:22+00:00,2025-03-05 06:14:14+00:00,13.704,52.0,0.7616877244714942
2025-03-05 06:15:06+00:00,167264,Acoustic,VPVF,acoustic,2025-03-05 06:15:06+00:00,2025-03-05 06:15:38+00:00,35.352,32.0,1.0374373723313388
2025-03-05 06:17:20+00:00,167265,Acoustic,VPVF,acoustic,2025-03-05 06:17:20+00:00,2025-03-05 06:18:14+00:00,24.587,54.0,0.9317727126216686
2025-03-05 06:19:40+00:00,167266,Acoustic,VPVF,acoustic,2025-03-05 06:19:40+00:00,2025-03-05 06:20:12+00:00,19.006,32.0,0.8568567857022147
2025-03-05 06:22:08+00:00,167267,Acoustic,VPVF,acoustic,2025-03-05 06:22:08+00:00,2025-03-05 06:23:22+00:00,48.059,74.0,1.1267890690114215
2025-03-05 06:24:02+00:00,167268,Acoustic,VPVF,acoustic,2025-03-05 06:24:02+00:00,2025-03-05 06:24:42+00:00,16.227,40.0,0.810859618228357
2025-03-05 06:25:12+00:00,167269,Acoustic,VPVF,acoustic,2025-03-05 06:25:12+00:00,2025-03-05 06:25:56+00:00,5.185,44.0,0.4788816696857901
2025-03-05 06:26:34+00:00,167270,Acoustic,VPVF,acoustic,2025-03-05 06:26:34+00:00,2025-03-05 06:27:06+00:00,5.892,32.0,0.5160760345742975
