event_id,label,station,sensor_type,t1,t2,energy,duration,magnitude
163860,Acoustic,VPVF,acoustic,2025-02-17 12:02:31.888,2025-02-17 12:02:40.325,1613.545,8.437,2.149213324876688
163861,Acoustic,VPVF,acoustic,2025-02-17 12:10:56.598,2025-02-17 12:11:03.348,956.228,6.75,1.9969761758115347
163862,Acoustic,VPVF,acoustic,2025-02-17 12:35:12.058,2025-02-17 12:35:22.318,1219.691,10.26,2.067787378867732
163863,Acoustic,VPVF,acoustic,2025-02-17 12:46:06.193,2025-02-17 12:46:15.373,786.622,9.18,1.9401632792661139
163864,Acoustic,VPVF,acoustic,2025-02-17 12:59:18.125,2025-02-17 12:59:24.875,752.062,6.75,1.9270899423574703
163865,Acoustic,VPVF,acoustic,2025-02-17 13:23:25.665,2025-02-17 13:23:32.348,869.875,6.683,1.969436089167058
163866,Acoustic,VPVF,acoustic,2025-02-17 13:48:15.193,2025-02-17 13:48:23.833,4120.424,8.64,2.4220110784384294
163867,Acoustic,VPVF,acoustic,2025-02-17 14:33:54.665,2025-02-17 14:34:02.563,5185.367,7.898,2.488902264650308
163868,Acoustic,VPVF,acoustic,2025-02-17 14:44:54.193,2025-02-17 14:45:01.213,918.879,7.02,1.9853830786224964
163869,Acoustic,VPVF,acoustic,2025-02-17 14:52:48.058,2025-02-17 14:52:54.673,129.155,6.615,1.4144445199142894
163870,Acoustic,VPVF,acoustic,2025-02-17 15:16:47.395,2025-02-17 15:16:53.943,929.691,6.548,1.9887868799108255
163871,Acoustic,VPVF,acoustic,2025-02-17 15:22:22.463,2025-02-17 15:22:29.483,81.63,7.02,1.2809393636546116
163872,Acoustic,VPVF,acoustic,2025-02-17 15:58:45.598,2025-02-17 15:58:52.888,673.738,7.29,1.8950889988172586
163873,Acoustic,VPVF,acoustic,2025-02-17 16:05:20.248,2025-02-17 16:05:26.795,1659.016,6.547,2.157299884913836
163874,Acoustic,VPVF,acoustic,2025-02-17 16:26:48.463,2025-02-17 16:26:55.888,1733.821,7.425,2.170132853404072
163875,Acoustic,VPVF,acoustic,2025-02-17 17:09:46.395,2025-02-17 17:09:52.538,1459.2,6.143,2.1199569300595087
163876,Acoustic,VPVF,acoustic,2025-02-17 17:18:40.463,2025-02-17 17:18:45.053,137.996,4.59,1.4337105536418715
163877,Acoustic,VPVF,acoustic,2025-02-17 17:26:38.395,2025-02-17 17:26:46.023,1389.485,7.628,2.105712088056262
163878,Acoustic,VPVF,acoustic,2025-02-17 17:34:00.868,2025-02-17 17:34:09.035,1215.707,8.167,2.0668353746296235
163879,Acoustic,VPVF,acoustic,2025-02-17 17:45:19.383,2025-02-17 17:45:25.525,1187.732,6.142,2.060061366482744
163880,Acoustic,VPVF,acoustic,2025-02-17 18:20:08.058,2025-02-17 18:20:11.703,193.831,3.645,1.5325735683537023
163881,Acoustic,VPVF,acoustic,2025-02-17 18:34:39.733,2025-02-17 18:34:46.888,145.608,7.155,1.4493341085592883
163882,Acoustic,VPVF,acoustic,2025-02-17 18:41:39.015,2025-02-17 18:41:46.035,2745.919,7.02,2.303920773828215
163883,Acoustic,VPVF,acoustic,2025-02-17 18:50:05.665,2025-02-17 18:50:12.415,722.545,6.75,1.9154394830465993
163884,Acoustic,VPVF,acoustic,2025-02-17 19:02:34.868,2025-02-17 19:02:42.495,363.51,7.627,1.71554596294824
163885,Acoustic,VPVF,acoustic,2025-02-17 19:17:06.598,2025-02-17 19:17:14.293,484.642,7.695,1.799232102307723
163886,Acoustic,VPVF,acoustic,2025-02-17 19:25:49.585,2025-02-17 19:25:58.563,184.346,8.978,1.5179745914487281
163887,Acoustic,VPVF,acoustic,2025-02-17 19:35:57.585,2025-02-17 19:36:04.133,778.642,6.548,1.9371963433439514
163888,Acoustic,VPVF,acoustic,2025-02-17 20:05:12.720,2025-02-17 20:05:19.065,311.22,6.345,1.6703552239127433
163889,Acoustic,VPVF,acoustic,2025-02-17 20:34:04.665,2025-02-17 20:34:11.483,65.26,6.818,1.2158135365327436
163890,Acoustic,VPVF,acoustic,2025-02-17 20:38:52.800,2025-02-17 20:39:02.385,189.426,9.585,1.525884524371565
163891,Acoustic,VPVF,acoustic,2025-02-17 20:43:21.260,2025-02-17 20:43:28.010,247.311,6.75,1.6034731004576148
163892,Acoustic,VPVF,acoustic,2025-02-17 20:52:34.855,2025-02-17 20:52:43.023,700.341,8.168,1.9063573998098025
163893,Acoustic,VPVF,acoustic,2025-02-17 21:10:03.923,2025-02-17 21:10:10.740,532.791,6.817,1.8267931096300474
