,Erruption Activity,VPCC RSAM,VPPC RSAM,VPNC RSAM,VPRS RSAM,VPRS Field E,VPRS Field N,VPRS Field Z,CO2 Concentration
2025-02-04 17:59:00+00:00,0.0,78.41353923413948,850.3584821070648,287.3686055135079,67.62348351818913,-0.00586,1.9810375,0.0347025,350.4
2025-02-04 18:00:00+00:00,0.0,76.01796265593984,857.3819714880217,289.445662342416,68.18610211114594,-0.0058725,1.9810325,0.034705,350.16
2025-02-04 18:01:00+00:00,0.0,77.94809640256175,856.2011299975773,288.411167577751,67.6260320397712,-0.0058825,1.9810225,0.034705,349.92
2025-02-04 18:02:00+00:00,0.0,79.87823014918366,855.0202885071329,287.376672813086,67.06596196839646,-0.0058975,1.9810125,0.034705,349.68
2025-02-04 18:03:00+00:00,0.0,81.80836389580557,853.8394470166885,286.342178048421,66.50589189702173,-0.005915,1.9810025,0.034705,349.2638095238095
2025-02-04 18:04:00+00:00,0.0,83.73849764242748,852.6586055262442,285.307683283756,65.94582182564699,-0.0059475,1.98098,0.034705,349.08761904761906
2025-02-04 18:05:00+00:00,0.0,85.66863138904938,851.4777640357997,284.273188519091,65.38575175427225,-0.005995,1.98097,0.034705,348.9114285714286
2025-02-04 18:06:00+00:00,0.0,87.5987651356713,850.2969225453553,283.238693754426,64.82568168289751,-0.0060375,1.980965,0.034705,348.7352380952381
2025-02-04 18:07:00+00:00,0.0,89.5288988822932,849.116081054911,282.204198989761,64.26561161152277,-0.0060425,1.980955,0.0347075,348.55904761904765
2025-02-04 18:08:00+00:00,0.0,91.45903262891512,847.9352395644665,281.169704225096,63.70554154014804,-0.0060625,1.9809375,0.034705,348.3828571428571
2025-02-04 18:09:00+00:00,0.0,93.38916637553704,846.7543980740222,280.135209460431,63.1454714687733,-0.006085,1.98092,0.0347075,348.20666666666665
2025-02-04 18:10:00+00:00,0.0,95.31930012215894,845.5735565835778,279.100714695766,62.58540139739856,-0.0061225,1.9809025,0.0347075,348.0304761904762
2025-02-04 18:11:00+00:00,0.0,94.52729783725326,848.0189479352355,280.28359054280344,63.29756832864291,-0.00615,1.9808875,0.0347075,347.8542857142857
2025-02-04 18:12:00+00:00,0.0,93.7352955523476,850.4643392868932,281.4664663898409,64.00973525988726,-0.0061675,1.980865,0.0347075,347.67809523809524
2025-02-04 18:13:00+00:00,0.0,92.94329326744192,852.9097306385507,282.64934223687834,64.7219021911316,-0.0062075,1.980855,0.0347075,347.50190476190477
2025-02-04 18:14:00+00:00,0.0,92.15129098253624,855.3551219902084,283.8322180839158,65.43406912237596,-0.0062125,1.9808375,0.03471,347.3257142857143
2025-02-04 18:15:00+00:00,0.0,91.35928869763056,857.8005133418661,285.0150939309533,66.14623605362031,-0.006245,1.9808175,0.03471,347.1495238095238
2025-02-04 18:16:00+00:00,0.0,90.5672864127249,860.2459046935238,286.19796977799075,66.85840298486465,-0.0063125,1.9808,0.03471,346.97333333333336
2025-02-04 18:17:00+00:00,0.0,89.77528412781923,862.6912960451815,287.3808456250282,67.57056991610901,-0.006345,1.9807875,0.03471,346.7971428571429
2025-02-04 18:18:00+00:00,0.0,88.98328184291356,865.1366873968391,288.56372147206565,68.28273684735336,-0.006365,1.980775,0.03471,346.62095238095236
2025-02-04 18:19:00+00:00,0.0,88.19127955800789,867.5820787484968,289.7465973191031,68.9949037785977,-0.006375,1.98076,0.03471,346.4447619047619
2025-02-04 18:20:00+00:00,0.0,87.39927727310221,870.0274701001545,290.92947316614055,69.70707070984206,-0.0064125,1.98075,0.03471,346.2685714285714
2025-02-04 18:21:00+00:00,0.0,84.57231806832944,866.8517920875954,289.58143961817643,71.28326359430886,-0.006455,1.9807375,0.0347125,346.09238095238095
2025-02-04 18:22:00+00:00,0.0,81.74535886355667,863.6761140750363,288.23340607021237,72.85945647877567,-0.0065025,1.9807275,0.0347125,345.9161904761905
2025-02-04 18:23:00+00:00,0.0,78.9183996587839,860.5004360624771,286.88537252224825,74.43564936324248,-0.0065325,1.9807175,0.0347125,345.53809523809525
2025-02-04 18:24:00+00:00,0.0,76.09144045401113,857.324758049918,285.5373389742841,76.01184224770928,-0.006575,1.9807,0.0347125,345.3361904761905
2025-02-04 18:25:00+00:00,0.0,73.26448124923836,854.149080037359,284.18930542632006,77.58803513217609,-0.00661,1.98069,0.0347125,345.13428571428574
2025-02-04 18:26:00+00:00,0.0,70.4375220444656,850.9734020247998,282.84127187835594,79.16422801664291,-0.0066325,1.980675,0.0347125,344.932380952381
2025-02-04 18:27:00+00:00,0.0,67.61056283969282,847.7977240122407,281.4932383303918,80.74042090110972,-0.0066575,1.98066,0.0347125,344.7304761904762
2025-02-04 18:28:00+00:00,0.0,64.78360363492004,844.6220459996816,280.1452047824277,82.31661378557652,-0.00669,1.980645,0.0347125,344.5285714285714
2025-02-04 18:29:00+00:00,0.0,61.95664443014728,841.4463679871226,278.79717123446363,83.89280667004333,-0.006715,1.980635,0.0347125,344.32666666666665
2025-02-04 18:30:00+00:00,0.0,59.12968522537451,838.2706899745634,277.4491376864995,85.46899955451013,-0.0067475,1.98063,0.034715,344.1247619047619
